Address,Title 1,Meta Description 1,Readability,Format,Topic,Value,Notes
https://accessibility.civicactions.com/about/people/luke-fretwell,Luke Fretwell | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/about/people/michelle-kang,Michelle Kang | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/about/people/nira-datta,Nira Datta | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/about/people/vanessa-luxen,Vanessa Luxen | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Person,Contributors,3 Low,Low click-through rate. Could have more info.
https://accessibility.civicactions.com/okrs,OKRs | CivicActions Accessibility,CivicActions Accessibility OKRs.,Hard,Detail,General accessibility,3 Low,No details on OKRs
https://accessibility.civicactions.com/guide/glossary,Glossary | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,General accessibility,3 Low,Low number of views.
https://accessibility.civicactions.com/documentation,How to work on to the Accessibility site | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Methods,3 Low,Low number of views. Heading repeats twice
https://accessibility.civicactions.com/projects/uswds-color,USWDS Color Tool | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Collection,Tools,3 Low,Could be combined with another page.
https://accessibility.civicactions.com/topics/design,Design | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Collection,Training,3 Low,One link on page. 
https://accessibility.civicactions.com/topics/roles,Roles | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Collection,Training,3 Low,No content
https://accessibility.civicactions.com/posts/hello-world,Hello world | CivicActions Accessibility,Welcome to CivicActions Accessibility.,Normal,News,Champions,3 Low,Low click-through rate. Could be removed.
https://accessibility.civicactions.com/Onboarding.html,This page has moved to our live site - Please Update your links! | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Methods,3 Low,Points to a new page
https://accessibility.civicactions.com/posts/smashingmag-baking-in-accessibility-testing,Smashing Magazine: 'How To Bake Layers Of Accessibility Testing Into Your Process' | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Automated testing,3 Low,Low number of views. Links to external article
https://accessibility.civicactions.com/posts/mvp-playbook,CivicActions Accessibility Playbook now available | CivicActions Accessibility,The first iteration of the CivicActions Accessibility Playbook is now available for public use.,Normal,News,Champions,3 Low,Low number of views. Links to internal page.
https://accessibility.civicactions.com/help,Help | CivicActions Accessibility,How to get accessibility support from CivicActions Accessibility.,Normal,Guide,Content quality,3 Low,Low number of views. Could be combined with contact page.
https://accessibility.civicactions.com/posts/how-drupal-helps-us-bake-accessibility-into-every-project,How Drupal helps us bake accessibility into every project | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Drupal,3 Low,Low number of views. Links to external article
https://accessibility.civicactions.com/calendar,Calendar | CivicActions Accessibility,CivicActions Accessibility team meetings and other accessibility-related events.,Normal,Detail,General accessibility,3 Low,Internal-only and outdated?
https://accessibility.civicactions.com/projects/uswds,U.S. Web Design System | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Collection,Tools,3 Low,Could be combined with another page.
https://accessibility.civicactions.com/services,Services | CivicActions Accessibility,Professional accessibility services offered by our team.,Normal,Detail,Champions,3 Low,Low number of views.
https://accessibility.civicactions.com/posts/gsa-machine-readable-acr,CivicActions wins contract to produce a machine-readable Voluntary Product Accessibility Template® (VPAT®) | CivicActions Accessibility,CivicActions is building the foundation for a new way to approach Accessibility Compliance Reporting with our work with the GSA.,Normal,News,Champions,3 Low,Low number of views.
https://accessibility.civicactions.com/posts/mvp-guide,CivicActions Accessibility Guide now available | CivicActions Accessibility,The first iteration of the CivicActions Accessibility Guide is now available for public use.,Normal,News,Champions,3 Low,Low number of views. Links to internal page.
https://accessibility.civicactions.com/posts/pre-GAAD-Authoring-Tools-Built-in-Accessibility,Pre-GAAD event: Authoring tools with built-in accessibility | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Champions,3 Low,Low number of views.
https://accessibility.civicactions.com/posts/scanning-over-two-million-gov-pages,What we learned about accessibility by scanning more than 2 million federal .gov web pages | CivicActions Accessibility,CivicActions scanned over 2 million federal .gov pages for accessibility barriers and this is what we found.,Normal,News,Champions,3 Low,Low number of views. Links to external article
https://accessibility.civicactions.com/join,Redirecting…,,Normal,Transaction,Champions,3 Low,Redirects
https://accessibility.civicactions.com/posts/plain-language-accessibility-guide,Plain language page added to CivicActions Accessibility Guide | CivicActions Accessibility,"This includes quick tips, tools and community information.",Normal,News,Content quality,3 Low,Low number of views. Links to internal page.
https://accessibility.civicactions.com/about/join,Join us | CivicActions Accessibility,How to get involved with CivicActions Accessibility.,Normal,Transaction,Contributors,3 Low,Low number of views.
https://accessibility.civicactions.com/colophon,Colophon | CivicActions Accessibility,Giving thanks.,Normal,Detail,General accessibility,3 Low,Could be combined with another page.
https://accessibility.civicactions.com/heart,Holistic Enterprise Accessibility Review Technique (HEART) | CivicActions Accessibility,Ensuring Government Digital Services Accessibility,Normal,Guide,Methods,3 Low,Low number of views.
https://accessibility.civicactions.com/posts/website-analytics,Open analytics on the CivicActions Accessibility website | CivicActions Accessibility,Adding public website analytics to CivicActions Accessibility.,Normal,News,Open source,3 Low,Low number of views.
https://accessibility.civicactions.com/posts/improve-government-accessibility-through-open-source,Improving government accessibility through open source | CivicActions Accessibility,How agencies can adopt an open source strategy to make their services more usable by people of all abilities.,Normal,News,Open source,3 Low,Low number of views. Links to external article
https://accessibility.civicactions.com/personas/,CivicActions Accessibility Personas | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Detail,Personas,3 Low,Low number of views.
https://accessibility.civicactions.com/projects/drupal,Drupal | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Collection,Tools,3 Low,Could be combined with another page.
https://accessibility.civicactions.com/topics/testing,Testing | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Collection,Training,3 Low,Could be combined with another page.
https://accessibility.civicactions.com/topics/tools,Tools | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Collection,Training,3 Low,Could be combined with another page.
https://accessibility.civicactions.com/topics/,Topics | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Section index,,3 Low,Low number of views.
https://accessibility.civicactions.com/guide/events,Events | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Very Hard,Guide,Champions,3 Low,Possibly outdated. Could be removed.
https://accessibility.civicactions.com/license,License | CivicActions Accessibility,License for CivicActions Accessibility.,Very Hard,Detail,General accessibility,3 Low,No content
https://accessibility.civicactions.com/topics/disability-type,Disability type | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Very Hard,Collection,Training,3 Low,No content
https://accessibility.civicactions.com/topics/process-policies,Process/Policies | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Very Hard,Collection,Training,3 Low,No content
https://accessibility.civicactions.com/docs/,,,Very Hard,,,3 Low,404 error
https://accessibility.civicactions.com/assets/personas/pdfs/avery.pdf,,,,Document,Personas,3 Low,Only linked in sitemap.xml - link from content or remove
https://accessibility.civicactions.com/assets/personas/pdfs/darcy.pdf,,,,Document,Personas,3 Low,Only linked in sitemap.xml - link from content or remove
https://accessibility.civicactions.com/assets/personas/pdfs/parker.pdf,,,,Document,Personas,3 Low,Only linked in sitemap.xml - link from content or remove
https://accessibility.civicactions.com/assets/personas/pdfs/quincy.pdf,,,,Document,Personas,3 Low,Only linked in sitemap.xml - link from content or remove
https://accessibility.civicactions.com/assets/personas/pdfs/raz.pdf,,,,Document,Personas,3 Low,Only linked in sitemap.xml - link from content or remove
https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--all.pdf,,,,Document,Tools,3 Low,Only linked in sitemap.xml - link from content or remove
https://accessibility.civicactions.com/assets/img/icons/18F_feather/18F-Feather-Icons--top-hits.pdf,,,,Document,Tools,3 Low,Only linked in sitemap.xml - link from content or remove
https://accessibility.civicactions.com/posts/how-we-scale-inclusive-website-content-with-automated-testing-and-open-source-tools,How we scale inclusive website content with automated testing and open source tools | CivicActions Accessibility,Using GitHub and open source technology -- general and text-specific -- we created a continuous text feedback mechanism to help ensure our content mirrors our values.,Easy,News,Automated testing,2 Normal,
https://accessibility.civicactions.com/playbook/documents,Creating accessible documents | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Easy,Guide,Content quality,2 Normal,Lot of info on this page. Consider breaking up.
https://accessibility.civicactions.com/VPAT/Drupal9AccessibilityConformanceReport-December2020.html,Drupal Accessibility Conformance Report,,Hard,Detail,Drupal,2 Normal,
https://accessibility.civicactions.com/VPAT/,VPAT (Voluntary Product Accessibility Template) | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Tools,2 Normal,
https://accessibility.civicactions.com/posts/4-ways-to-improve-government-accessibility-through-open-source,4 ways to improve government accessibility through open source | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,News,Champions,2 Normal,
https://accessibility.civicactions.com/posts/CivicActions-Accessibility-Pledge,CivicActions Accessibility Pledge | CivicActions Accessibility,Our committment to accessibility is encapsulated in this pledge.,Hard,News,Champions,2 Normal,
https://accessibility.civicactions.com/posts/launching-a-community-of-practice-for-accessibility-in-government-services,Launching a community of practice for accessibility in government services | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,News,Champions,2 Normal,Low number of views.
https://accessibility.civicactions.com/conduct,Code of conduct | CivicActions Accessibility,CivicActions Accessibility code of conduct.,Hard,Detail,Contributors,2 Normal,
https://accessibility.civicactions.com/VPAT/Drupal9AccessibilityConformanceReport.html,Drupal Accessibility Conformance Report | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Detail,Drupal,2 Normal,
https://accessibility.civicactions.com/posts/daniel-mundra-diving-into-drupal,Daniel Mundra: Diving into Drupal | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,News,Drupal,2 Normal,Questions/headers could be emphasized more
https://accessibility.civicactions.com/playbook/authoring,Improve authoring tools | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Hard,Guide,Tools,2 Normal,
https://accessibility.civicactions.com/guide/resources,Resources | CivicActions Accessibility,Accessibility resources.,Hard,Guide,Training,2 Normal,
https://accessibility.civicactions.com/roles/,Roles | CivicActions Accessibility,How team members can advocate and implement accessibility into your work.,Hard,Section index,,2 Normal,Same icons are used for each role.
https://accessibility.civicactions.com/news,,,Hard,Section index,,2 Normal,Long list.
https://accessibility.civicactions.com/news/,News | CivicActions Accessibility,Latest CivicActions Accessibility news.,Hard,Section index,,2 Normal,Long list.
https://accessibility.civicactions.com/posts/,Redirecting…,,Hard,Section index,,2 Normal,Redirects
https://accessibility.civicactions.com/guide/semantic-html,Semantic HTML | CivicActions Accessibility,Basic information on semantic HTML and accessibility.,Normal,Guide,General accessibility,2 Normal,
https://accessibility.civicactions.com/playbook/checklists,Use checklists | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Manual testing,2 Normal,
https://accessibility.civicactions.com/personas/remote-raz,Remote Raz | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Detail,Personas,2 Normal,
https://accessibility.civicactions.com/projects,,,Normal,Section index,,2 Normal,
https://accessibility.civicactions.com/projects/,Projects | CivicActions Accessibility,Open source accessibility projects we contribute to.,Normal,Section index,,2 Normal,
https://accessibility.civicactions.com/playbook/community,Join the global accessibility community | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Champions,2 Normal,
https://accessibility.civicactions.com/playbook/distributed-teams,Encourage accessible distributed teams | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Champions,2 Normal,
https://accessibility.civicactions.com/playbook/follow-global-initiatives,Follow global initiatives | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Champions,2 Normal,
https://accessibility.civicactions.com/guide/social-media,Social media | CivicActions Accessibility,Basic information on social media and accessibility.,Normal,Guide,Content quality,2 Normal,
https://accessibility.civicactions.com/posts/government-accessibility-and-the-cms-problem,Government Accessibility and the CMS Problem | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Drupal,2 Normal,Links to external article
https://accessibility.civicactions.com/accessibility,Accessibility Statement | CivicActions Accessibility,Website accessibility statement and feedback document.,Normal,Detail,General accessibility,2 Normal,
https://accessibility.civicactions.com/guide/identity-language,Identity and language | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,General accessibility,2 Normal,
https://accessibility.civicactions.com/guide/documents,Documents | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,General accessibility,2 Normal,
https://accessibility.civicactions.com/guide/organizations,Organizations | CivicActions Accessibility,Accessibility organizations.,Normal,Guide,General accessibility,2 Normal,Could this be combined with another page?
https://accessibility.civicactions.com/agile,Agile | CivicActions Accessibility,We value agile approaches.,Normal,Detail,Methods,2 Normal,
https://accessibility.civicactions.com/personas/accessibility-avery,Accessibility Avery | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Detail,Personas,2 Normal,
https://accessibility.civicactions.com/personas/procurement-parker,Procurement Parker | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Detail,Personas,2 Normal,
https://accessibility.civicactions.com/personas/qa-quincy,QA Quincy | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Detail,Personas,2 Normal,
https://accessibility.civicactions.com/posts/at-banter-podcast,Mike Gifford interviewed on the AT Banter Podcast | CivicActions Accessibility,An entertaining discussion with the Banter crew and Mike Gifford.,Normal,News,Automated testing,2 Normal,Low number of views. Links to external article
https://accessibility.civicactions.com/posts/opensource-automated-accessibility-testing,Opensource.com: How I do automated accessibility testing for my website | CivicActions Accessibility,Opensource published a guest editorial we wrote on automated accessibility testing.,Normal,News,Automated testing,2 Normal,Links to external article
https://accessibility.civicactions.com/about/,About CivicActions Accessibility | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Detail,Champions,2 Normal,Red Meta Desc cell indicates duplicate or missing
https://accessibility.civicactions.com/playbook/practice,Build a community of practice | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Champions,2 Normal,
https://accessibility.civicactions.com/posts/CivicActions-Creates-Open-Product-Accessibility-Template,CivicActions creates Open Product Accessibility Template (OPAT) with the GSA | CivicActions Accessibility,CivicActions' contract with the GSA has allowed us to build a open Accessibility Conformance Report that is machine-readable Open Product Accessibility Template (OPAT).,Normal,News,Champions,2 Normal,
https://accessibility.civicactions.com/posts/five-reasons-to-get-excited-about-governmentwide-section-508-assessment-criteria,Five reasons to get excited about governmentwide Section 508 assessment criteria | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Champions,2 Normal,Links to external article
https://accessibility.civicactions.com/posts/fix-accessibility-bugs,"Treat accessibility issues as bugs, not feature requests | CivicActions Accessibility","CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Champions,2 Normal,Links to external article
https://accessibility.civicactions.com/posts/gcn-accessibility-compliance-as-code,GCN: The need for accessibility compliance as code | CivicActions Accessibility,GCN published a guest editorial we wrote that was inspired by a conversation we had on a recent CivicActions Accessibility practice area call.,Normal,News,Champions,2 Normal,Links to external article
https://accessibility.civicactions.com/posts/govtech-how-will-biden-transform-government-website-accessibility,Government Technology: How Will Biden Transform Government Website Accessibility | CivicActions Accessibility,Government Technology published a guest editorial we wrote on the new Whitehouse.gov accessibility page.,Normal,News,Champions,2 Normal,Links to external article
https://accessibility.civicactions.com/posts/heart-accessibility,HEART: Ensuring government digital services accessibility | CivicActions Accessibility,"Holistic Enterprise Accessibility Review Technique is a proactive, interactive process to ensure government digital services are accessible to everyone.",Normal,News,Champions,2 Normal,Links to internal page.
https://accessibility.civicactions.com/posts/how-omb-can-improve-gov-accessibility,How OMB can improve .gov accessibility | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,News,Champions,2 Normal,Links to external article
https://accessibility.civicactions.com/posts/Talking-Drupal-Podcast,Mike Gifford & Daniel Mundra interviewed on the Talking Drupal podcast | CivicActions Accessibility,A discussion about Accessibility Scanning & Testing in Drupal.,Normal,News,Champions,2 Normal,Links to external article
https://accessibility.civicactions.com/posts/Talking-Drupal-Podcast-382,Daniel Mundra interviewed on the Talking Drupal podcast | CivicActions Accessibility,A discussion about Automated A11y Testing with Nightwatch.,Normal,News,Champions,2 Normal,Links to external article
https://accessibility.civicactions.com/playbook/pdf,Avoid PDF documents | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Content quality,2 Normal,
https://accessibility.civicactions.com/playbook/personalization,Support personalization | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Content quality,2 Normal,
https://accessibility.civicactions.com/posts/social-media-accessibility-guide,Social media page added to CivicActions Accessibility Guide | CivicActions Accessibility,"This includes tips for text, hashtags, images, video, emoji and related resources.",Normal,News,Content quality,2 Normal,Links to internal page.
https://accessibility.civicactions.com/playbook/statements,Update accessibility statements | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,General accessibility,2 Normal,
https://accessibility.civicactions.com/guide/introduction,Introduction | CivicActions Accessibility,Getting started.,Normal,Guide,General accessibility,2 Normal,
https://accessibility.civicactions.com/playbook/manual-testing,Do manual testing | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Manual testing,2 Normal,
https://accessibility.civicactions.com/playbook/pwd,Include people with disabilities | CivicActions Accessibility,"CivicActions Accessibility Site: A collection of resources about digital accessibility and how it aligns with open source, CivicTech and Digital Transformation.",Normal,Guide,Methods,2 Normal,
https://accessibility.civicactions.com/open,Open | CivicActions Accessibility,We value a culture of openness.,Normal,Detail,Open source,2 Normal,
https://accessibility.civicactions.com/analytics,Analytics | CivicActions Accessibility,Web traffic data for the CivicActions Accessibility website.,Normal,Detail,Open source,2 Normal,
https://accessibility.civicactions.com/posts/FOSDEM-ccessibility-OpenSource,Mike Gifford gave a presentation at FOSDEM on Accessibility & Open Source | CivicActions Accessibility,Mike gave a talk in Brussels at the annual FOSDEM conference. He focused on how open source is key to building a more inclusive world.,Normal,News,Open source,2 Normal,Links to external article
